transaction_type,category,transaction_time,amount,account_name,ledger_name,tag,recorder,remark,original_refund_amount,transaction_id,transaction_date,transaction_month,transaction_week,weekday_name,amount_abs,refund_amount,net_amount,signed_amount,analysis_scope,scene_l1,scene_l2,necessity_type,budget_type,risk_tag,analysis_note,clean_status,is_small_high_freq_scene,rule_large_amount,rule_small_high_freq,rule_budget_out_risk,rule_renewal_management,rule_food_delivery,rule_hit_count,risk_level,hit_rule_names,risk_reason,action_suggestion
支出,水果,2026-5-1 7:17,12.0,美团月付,自用-2605,,月岛雯,西瓜,,TX0001,2026-05-01,2026-05,18,五,12.0,0,12.0,-12.0,日常经营分析,日常水果,水果,弹性支出,预算内,是否实惠,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,餐饮,2026-5-1 7:18,5.09,美团月付,自用-2605,水,月岛雯,自己喝,,TX0002,2026-05-01,2026-05,18,五,5.09,0,5.09,-5.09,日常经营分析,餐饮消费,日常饮水,必要支出,预算内,无明显风险,高频刚需消费,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:20,13.61,美团月付,自用-2605,五一共青桌游,月岛雯,水果,,TX0003,2026-05-01,2026-05,18,五,13.61,0,13.61,-13.61,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:20,12.84,美团月付,自用-2605,五一共青桌游,月岛雯,零食,,TX0004,2026-05-01,2026-05,18,五,12.84,0,12.84,-12.84,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 7:21,8.57,美团月付,自用-2605,五一共青桌游,月岛雯,甜品,,TX0005,2026-05-01,2026-05,18,五,8.57,0,8.57,-8.57,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,快递,2026-5-1 7:23,1.2,美团月付,自用-2605,打包,月岛雯,超市购物,,TX0006,2026-05-01,2026-05,18,五,1.2,0,1.2,-1.2,日常经营分析,超市购物,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,快递,2026-5-1 7:24,6.0,美团月付,自用-2605,配送,月岛雯,超市购物,,TX0007,2026-05-01,2026-05,18,五,6.0,0,6.0,-6.0,日常经营分析,超市购物,外卖配送,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,水果,2026-5-1 7:24,4.14,美团月付,自用-2605,,月岛雯,香蕉,,TX0008,2026-05-01,2026-05,18,五,4.14,0,4.14,-4.14,日常经营分析,日常水果,水果,弹性支出,预算内,是否实惠,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,娱乐,2026-5-1 19:14,40.0,零钱通,自用-2605,五一共青桌游,月岛雯,交通,,TX0009,2026-05-01,2026-05,18,五,40.0,0,40.0,-40.0,日常经营分析,娱乐消费,娱乐出行,必要支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,餐饮,2026-5-2 11:10,23.4,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0010,2026-05-02,2026-05,18,六,23.4,0,23.4,-23.4,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-2 11:11,3.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0011,2026-05-02,2026-05,18,六,3.0,0,3.0,-3.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,快递,2026-5-2 11:11,1.4,美团月付,自用-2605,配送,月岛雯,中饭,,TX0012,2026-05-02,2026-05,18,六,1.4,0,1.4,-1.4,日常经营分析,餐饮消费,外卖配送,可控支出,预算外,积少成多,非必要支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-2 18:41,23.8,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0013,2026-05-02,2026-05,18,六,23.8,0,23.8,-23.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-2 18:42,1.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0014,2026-05-02,2026-05,18,六,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-3 11:33,22.9,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0015,2026-05-03,2026-05,19,日,22.9,0,22.9,-22.9,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-3 11:34,1.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0016,2026-05-03,2026-05,19,日,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-3 19:25,25.7,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0017,2026-05-03,2026-05,19,日,25.7,0,25.7,-25.7,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-3 19:25,3.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0018,2026-05-03,2026-05,19,日,3.0,0,3.0,-3.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-4 14:51,19.87,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0019,2026-05-04,2026-05,19,一,19.87,0,19.87,-19.87,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-4 14:51,1.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0020,2026-05-04,2026-05,19,一,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-4 19:31,22.8,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0022,2026-05-04,2026-05,19,一,22.8,0,22.8,-22.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-4 19:31,3.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0023,2026-05-04,2026-05,19,一,3.0,0,3.0,-3.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,娱乐,2026-5-5 11:10,30.0,校园卡,自用-2605,五月五茶馆相聚,月岛雯,中饭,,TX0024,2026-05-05,2026-05,19,二,30.0,0,30.0,-30.0,日常经营分析,娱乐消费,娱乐吃喝,弹性支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,交通,2026-5-5 15:45,1.8,零钱通,自用-2605,骑行,月岛雯,,,TX0025,2026-05-05,2026-05,19,二,1.8,0,1.8,-1.8,日常经营分析,日常交通,经济出行,必要支出,预算内,无明显风险,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,其它,2026-5-5 20:08,50.0,零钱通,自用-2605,不必要支出,月岛雯,丢手机,,TX0026,2026-05-05,2026-05,19,二,50.0,0,50.0,-50.0,日常经营分析,意外支出,丢手机,意外支出,预算外,大额风险,专项分析,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,娱乐,2026-5-5 20:10,50.0,零钱通,自用-2605,五月五茶馆相聚,月岛雯,交通,,TX0028,2026-05-05,2026-05,19,二,50.0,0,50.0,-50.0,日常经营分析,娱乐消费,娱乐出行,必要支出,预算内,无明显风险,专项分析,已清洗,0.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,交通,2026-5-5 21:23,1.8,美团月付,自用-2605,骑行,月岛雯,美团骑行,,TX0029,2026-05-05,2026-05,19,二,1.8,0,1.8,-1.8,日常经营分析,日常交通,经济出行,必要支出,预算内,无明显风险,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,餐饮,2026-5-6 16:29,24.3,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0030,2026-05-06,2026-05,19,三,24.3,0,24.3,-24.3,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-6 16:30,1.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0031,2026-05-06,2026-05,19,三,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,数码,2026-5-6 19:41,19.0,南京银行-活期,自用-2605,软件会员,月岛雯,百度网盘月度会员,,TX0033,2026-05-06,2026-05,19,三,19.0,0,19.0,-19.0,日常经营分析,数码软件,月度会员,弹性支出,预算外,续费管理,专项分析,已清洗,0.0,0,0,1,1,0,2,重点关注,预算外风险规则、续费管理规则,该交易属于预算外支出，且带有风险或优化标签；该交易属于软件/会员/订阅类支出，存在续费管理需求,建议建立订阅台账，记录续费周期、金额和实际使用频率；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-7 18:24,19.78,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0036,2026-05-07,2026-05,19,四,19.78,0,19.78,-19.78,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-7 18:24,4.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0037,2026-05-07,2026-05,19,四,4.0,0,4.0,-4.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-8 6:59,8.5,零钱通,自用-2605,到店,月岛雯,早餐,,TX0038,2026-05-08,2026-05,19,五,8.5,0,8.5,-8.5,日常经营分析,餐饮消费,到店餐饮,必要支出,预算内,可优化支出,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,餐饮,2026-5-8 18:35,24.8,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0039,2026-05-08,2026-05,19,五,24.8,0,24.8,-24.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-8 18:35,1.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0040,2026-05-08,2026-05,19,五,1.0,0,1.0,-1.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,人情,2026-5-9 11:13,2.0,校园卡,自用-2605,吃喝,月岛雯,老蒋帮填welink表单,,TX0043,2026-05-09,2026-05,19,六,2.0,0,2.0,-2.0,日常经营分析,餐饮消费,人情买账,弹性支出,预算外,存在非必要必出,部分花费可能没统计到人情里,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,交通,2026-5-9 19:46,49.69,南京银行-活期,自用-2605,,月岛雯,月末删除,,TX0044,2026-05-09,2026-05,19,六,49.69,0,49.69,-49.69,日常经营分析,日常交通,经济出行,必要支出,预算内,无明显风险,高频刚需消费,已清洗,1.0,0,0,0,0,0,0,暂无明显规则命中,无,当前规则下未发现明显风险命中,保持正常记录，后续继续月度复盘
支出,人情,2026-5-9 19:48,27.34,南京银行-活期,自用-2605,吃喝,月岛雯,老蒋帮填welink表单,,TX0045,2026-05-09,2026-05,19,六,27.34,0,27.34,-27.34,日常经营分析,餐饮消费,人情买账,弹性支出,预算外,存在非必要必出,部分花费可能没统计到人情里,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,数码,2026-5-9 21:53,1.82,平安银行,自用-2605,电子产品,月岛雯,耳机,,TX0049,2026-05-09,2026-05,19,六,1.82,0,1.82,-1.82,日常经营分析,数码软件,电子产品,弹性支出,预算外,续费管理,专项分析,已清洗,0.0,0,0,1,1,0,2,重点关注,预算外风险规则、续费管理规则,该交易属于预算外支出，且带有风险或优化标签；该交易属于软件/会员/订阅类支出，存在续费管理需求,建议建立订阅台账，记录续费周期、金额和实际使用频率；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-10 18:43,18.99,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0054,2026-05-10,2026-05,20,日,18.99,0,18.99,-18.99,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-10 18:43,2.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0055,2026-05-10,2026-05,20,日,2.0,0,2.0,-2.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,交通,2026-5-10 19:54,2.0,南京银行-活期,自用-2605,小驴,月岛雯,充电,,TX0057,2026-05-10,2026-05,20,日,2.0,0,2.0,-2.0,日常经营分析,日常交通,经济出行,必要支出,预算内,无明显风险,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,餐饮,2026-5-10 21:10,9.9,零钱通,自用-2605,到店,月岛雯,早餐,,TX0058,2026-05-10,2026-05,20,日,9.9,0,9.9,-9.9,日常经营分析,餐饮消费,到店餐饮,必要支出,预算内,可优化支出,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,餐饮,2026-5-11 11:54,21.8,美团月付,自用-2605,外卖,月岛雯,中饭,,TX0059,2026-05-11,2026-05,20,一,21.8,0,21.8,-21.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-11 11:54,3.0,美团月付,自用-2605,打包,月岛雯,中饭,,TX0060,2026-05-11,2026-05,20,一,3.0,0,3.0,-3.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,餐饮,2026-5-11 19:45,20.8,美团月付,自用-2605,外卖,月岛雯,晚饭,,TX0061,2026-05-11,2026-05,20,一,20.8,0,20.8,-20.8,日常经营分析,餐饮消费,美食外卖,必要支出,预算内,可优化支出,高频刚需消费,已清洗,0.0,0,0,0,0,1,1,一般关注,外卖频次规则,该交易属于美食外卖，是餐饮高占比的重要驱动场景,建议关注外卖频次，尝试用食堂、做饭或提前备餐替代部分场景
支出,快递,2026-5-11 19:46,4.0,美团月付,自用-2605,打包,月岛雯,晚饭,,TX0062,2026-05-11,2026-05,20,一,4.0,0,4.0,-4.0,日常经营分析,餐饮消费,外卖打包,可控支出,预算外,积少成多,非必要支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,交通,2026-5-11 19:54,1.32,南京银行-活期,自用-2605,小驴,月岛雯,充电,,TX0064,2026-05-11,2026-05,20,一,1.32,0,1.32,-1.32,日常经营分析,日常交通,经济出行,必要支出,预算内,无明显风险,高频刚需消费,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
支出,服饰,2026-5-11 21:50,7.9,抖音月付,自用-2605,衣服,月岛雯,短袖,,TX0067,2026-05-11,2026-05,20,一,7.9,0,7.9,-7.9,日常经营分析,日常服饰,日常衣物,可控支出,预算外,非必要支出,可控支出,已清洗,0.0,0,0,1,0,0,1,一般关注,预算外风险规则,该交易属于预算外支出，且带有风险或优化标签,建议纳入月度预算复盘，判断是否可提前规划
支出,服饰,2026-5-11 21:50,3.99,抖音月付,自用-2605,饰品,月岛雯,头绳,,TX0068,2026-05-11,2026-05,20,一,3.99,0,3.99,-3.99,日常经营分析,日常服饰,日常饰品,可控支出,预算外,非必要支出,可控支出,已清洗,1.0,0,1,1,0,0,2,重点关注,高频小额规则、预算外风险规则,该场景存在小额高频特征，可能形成隐性累计成本；该交易属于预算外支出，且带有风险或优化标签,建议设置月度频次提醒，避免小额支出积少成多；建议纳入月度预算复盘，判断是否可提前规划
支出,饮品,2026-5-12 11:15,4.5,校园卡,自用-2605,糖水,月岛雯,糖水粥铺,,TX0071,2026-05-12,2026-05,20,二,4.5,0,4.5,-4.5,日常经营分析,日常饮品,糖水,弹性支出,预算内,无明显风险,专项分析,已清洗,1.0,0,1,0,0,0,1,一般关注,高频小额规则,该场景存在小额高频特征，可能形成隐性累计成本,建议设置月度频次提醒，避免小额支出积少成多
